igralec,polozaj
188044,LW
188044,ST
188081,CAM
188081,LW
188081,ST
188091,ST
188103,CAM
188103,CM
188103,RM
188135,RB
188135,RWB
188152,CAM
188152,CM
188152,LW
188154,CAM
188154,CM
188166,RM
188182,CB
188197,ST
188253,CDM
188253,CM
188268,LW
188268,RW
188268,ST
188270,CB
188271,LM
188271,RM
188271,ST
188335,ST
188337,CM
188337,LM
188350,CAM
188350,CF
188377,RB
188388,CAM
188388,RM
188400,GK
188427,LM
188485,CB
188485,LB
188524,GK
188537,RB
188538,CB
188541,CDM
188541,CM
188545,ST
188567,LW
188567,ST
188600,CDM
188600,CM
188607,LB
188607,RB
188721,CAM
188721,RM
188727,CB
188770,CAM
188770,CF
188770,LM
188782,CB
188802,LB
188803,CAM
188803,LM
188829,CB
188840,CB
188840,RB
188871,ST
188879,CDM
188930,RB
188930,RM
188930,RWB
188938,GK
188942,CDM
188942,CM
188943,GK
188955,CAM
188955,ST
188988,CAM
188988,CM
188988,LM
189003,RB
189043,LB
189043,RB
189053,ST
189059,CDM
189059,CM
189060,CB
189061,GK
189068,ST
189084,GK
189117,GK
189125,CM
189127,CB
189153,CAM
189153,LW
189156,CB
189157,LW
189157,RW
189165,CM
189167,CDM
189167,CM
189172,CM
189172,LM
189172,LWB
189177,CM
189207,CAM
189207,LM
189207,RM
189218,CDM
189218,CM
189224,ST
189225,ST
189234,RB
189234,RM
189242,CAM
189242,CM
189242,LW
189250,ST
189251,CDM
189251,CM
189251,RB
189271,CDM
189271,CM
189280,CDM
189296,GK
189300,RB
189300,RWB
189303,ST
189324,GK
189332,LB
189338,RM
189338,RW
189342,GK
189357,GK
189362,RW
189362,ST
189388,RB
189390,CB
189390,LB
189397,CB
189403,CB
189410,CDM
189410,CM
189423,CDM
189423,CM
189433,CB
189446,LM
189446,LW
189446,RM
189454,CAM
189454,LM
189454,RM
189456,CB
189462,LM
189462,RM
189468,RM
189472,CB
189484,LB
189484,RB
189485,ST
189491,LM
189491,RM
189505,LW
189505,RW
189509,CDM
189509,CM
189511,CDM
189511,CM
189513,CM
189514,RB
189514,RWB
189530,LB
189530,RB
189557,RB
189557,RM
189560,CDM
189560,CM
189561,RM
189561,ST
189575,CAM
189575,LW
189575,RW
189576,CB
189576,RB
189596,CAM
189596,RM
189596,RW
189606,CDM
189606,CM
189607,ST
189615,CB
189615,LB
189650,LB
189650,LM
189650,LW
189680,LB
189680,RB
189681,RB
189682,CB
189690,GK
189707,GK
189712,CDM
189712,CM
189725,CAM
189725,CM
189757,ST
189795,ST
189805,ST
189819,CAM
189819,LM
189857,LM
189857,RM
189857,ST
189860,RB
189860,RWB
189881,CB
189899,CB
189908,GK
189930,LB
189930,LM
189946,RB
189963,ST
190014,RM
190014,ST
190021,RM
190034,CB
190034,LB
190059,CM
190059,LB
190059,LM
190113,GK
190120,GK
190143,LB
190149,RB
190149,RW
190156,CDM
190156,CM
190193,CDM
190193,CM
190195,GK
190223,LB
190243,GK
190264,CF
190264,RW
190264,ST
190276,CB
190286,CM
190286,LM
190286,RM
190324,CB
190362,ST
190416,CDM
190416,CM
190430,LB
190432,CDM
190432,CM
190435,GK
190456,RB
190459,GK
190460,CAM
190460,CM
190460,RM
190483,LM
190483,LW
190483,RW
190501,CAM
190501,CDM
190501,CM
190507,CB
190520,CB
190520,RB
190528,CDM
190531,CB
190535,CDM
190535,CM
190536,CAM
190536,CM
190544,CAM
190544,LW
190547,CB
190549,CDM
190549,CM
190558,CB
190560,CB
190569,GK
190576,CB
190577,CAM
190577,LM
190577,RM
190581,CAM
190584,CDM
190584,CM
190593,CAM
190593,CF
190593,RM
190607,CAM
190607,LM
190607,ST
190633,CB
190633,RB
190633,RWB
190640,CB
190640,CDM
190640,CM
190653,LW
190653,RM
190664,ST
190666,CB
190674,CDM
190674,CM
190717,LM
190717,RM
190717,ST
190734,GK
